id,teamId,approvalRequired,approverRoles,defaultBackgroundColor,defaultTextColor,defaultLineColor,createdAt,updatedAt
c43ac480-2f60-4131-9a58-2e6b3ddc081e,32ccdbe1-627f-4fe3-a506-056b997ed89b,f,{manager},#FFFFFF,#18181B,#E4E4E7,2026-07-20 22:26:50.521+00,2026-07-20 22:26:50.521+00
11e741c4-72a2-440f-88fd-f21c26f995ef,a9c81e05-8b1a-47ad-a80d-dbc45603f068,f,{manager},#FFFFFF,#18181B,#E4E4E7,2026-07-21 15:35:27.555+00,2026-07-21 15:35:27.555+00
47694f7f-f104-40db-b5e1-3a631ea8d2a4,5a615581-9ee1-4040-b2b7-76d5d0acf41a,f,{manager},#FFFFFF,#18181B,#E4E4E7,2026-07-21 16:01:35.559+00,2026-07-21 16:01:35.559+00
b89a2444-96d7-42b7-a99c-ee77ae31cb64,8f4abfd3-b0bd-4a0c-991a-d553d92f915a,f,{manager},#FFFFFF,#18181B,#E4E4E7,2026-07-21 16:44:34.175+00,2026-07-21 16:44:34.175+00
91567ef2-0833-408a-8831-10a01c2dd411,a1b2c3d4-0001-4000-8000-000000000001,f,{manager},#FFFFFF,#18181B,#E4E4E7,2026-07-21 16:49:33.946+00,2026-07-21 16:49:33.946+00
922e7896-0368-4364-966a-52a4808ef3d4,e51c5c55-1e13-45da-8a37-ed0f36f3d16c,f,{manager},#FFFFFF,#18181B,#E4E4E7,2026-07-21 18:39:39.739+00,2026-07-21 18:39:39.739+00
944c3d19-8d44-4231-93de-3073af4467b6,7b577c22-5513-42cc-ab19-2bf867e14ebc,f,{manager},#FFFFFF,#18181B,#E4E4E7,2026-07-22 13:00:22.491+00,2026-07-22 13:00:22.491+00
2d80ebb9-b4b2-4212-9d99-21aa9b5c3cbc,28f7b9e8-9516-4a08-864c-9ff3e085ba87,f,{manager},#FFFFFF,#18181B,#E4E4E7,2026-07-22 15:03:52.013+00,2026-07-22 15:03:52.013+00
15cb60ba-4706-48ab-a932-a68faff1babb,1c2d5668-5cd9-49a7-a138-3ccd2bea5cbb,f,{manager},#FFFFFF,#18181B,#E4E4E7,2026-07-23 03:29:17.264+00,2026-07-23 03:29:17.264+00
2fbebfd0-0fe8-4911-8897-e26c4ef4ae16,ebe67fdd-2e23-43c0-8e9b-8abec2682d09,f,{manager},#FFFFFF,#18181B,#E4E4E7,2026-07-23 14:08:11.238+00,2026-07-23 14:08:11.238+00
3eae24a8-18c6-4fb3-a492-983a04bd8312,862835fd-54ad-4ebd-986a-b5392f1bb227,f,{manager},#FFFFFF,#18181B,#E4E4E7,2026-07-24 00:56:32.519+00,2026-07-24 00:56:32.519+00
91323dfb-3fe5-4aaa-8da8-c5efb9fd8b0e,4b6ed21f-0c19-4c99-bdd3-efa57e5aa413,f,{manager},#FFFFFF,#18181B,#E4E4E7,2026-07-24 14:19:28.573+00,2026-07-24 14:19:28.573+00
30bc7fef-34f0-4a54-be85-10febba0e4ff,760fc14a-229e-4212-9aa9-f90de968af69,f,{manager},#FFFFFF,#18181B,#E4E4E7,2026-07-25 16:13:12.451+00,2026-07-25 16:13:12.451+00
