id,logId,type,occurredAt,metadata,createdAt
c4a74890-df57-4228-bc1a-d730e411a6f4,ace3e796-b08d-42e8-bc1e-1f5022e91abc,sent,2026-06-22 23:06:29.927+00,"{""svixId"": ""msg_3FVoRo562DwNIpru5wfQGsG1VcN""}",2026-06-22 23:06:35.4+00
48dd1962-f9a2-463b-8434-7ca7194928a6,ace3e796-b08d-42e8-bc1e-1f5022e91abc,delivered,2026-06-22 23:06:29.927+00,"{""svixId"": ""msg_3FVoS68KiuJIzP91hn11DzwpegB""}",2026-06-22 23:06:36.183+00
31d74e4b-e91d-4d31-88ad-7620d1487f2f,61d5895b-ccdd-4bc7-bbd6-52fe6d5bc804,opened,2026-07-01 14:53:38.031+00,"{""svixId"": ""msg_3FuHOrHDPhaTDAwDhSb1kzINpIF""}",2026-07-01 15:08:04.02+00
3d0e3db7-e1be-4563-a54f-7f85fe4a2d8b,631627a4-6843-4cb8-a632-b6c3e22b6e45,delivered,2026-07-01 14:53:38.048+00,"{""svixId"": ""msg_3FuGcw8TFFv5AjWdtVEOdsaodqR""}",2026-07-01 15:08:39.949+00
280508ce-d547-4f4d-a552-4e4e4a7db9ed,42360ac1-6f6f-496e-956a-0bf9f6d40a44,delivered,2026-07-01 14:53:38.011+00,"{""svixId"": ""msg_3FuGcj5tnPvsRHuKBLWtvESsKRL""}",2026-07-01 15:08:42.496+00
dc265f76-88e7-4455-a609-1fd97498ff68,61d5895b-ccdd-4bc7-bbd6-52fe6d5bc804,delivered,2026-07-01 14:53:38.031+00,"{""svixId"": ""msg_3FuGchI5dTfXd2n6nOatMI1zmgh""}",2026-07-01 15:08:53.513+00
441ff63c-c56e-4aec-af14-a0fafded92ea,17dae4d9-cee1-4f37-a20b-7fe41daeacf5,delivered,2026-07-01 14:53:38.038+00,"{""svixId"": ""msg_3FuGchBjpw5sU36XAvgVGFNoZvb""}",2026-07-01 15:09:00.089+00
d32b473b-cde6-4eee-a064-4cd819b25d29,61d5895b-ccdd-4bc7-bbd6-52fe6d5bc804,sent,2026-07-01 14:53:38.031+00,"{""svixId"": ""msg_3FuGcTy21O7QsVNdqU2HjTsvKOd""}",2026-07-01 15:09:03.857+00
619c2609-bb74-4752-9e14-2761617274d3,17dae4d9-cee1-4f37-a20b-7fe41daeacf5,sent,2026-07-01 14:53:38.038+00,"{""svixId"": ""msg_3FuGcTxdTQ7mC60FZwS9j3jXj4h""}",2026-07-01 15:09:06.767+00
91ed4830-dfa6-47e5-b80b-ee2815e80fca,631627a4-6843-4cb8-a632-b6c3e22b6e45,sent,2026-07-01 14:53:38.048+00,"{""svixId"": ""msg_3FuGcRjVYJYozWKt87yTvUZR3yJ""}",2026-07-01 15:09:09.963+00
ed905d45-ff95-4a19-8b2b-5a69d7fd7fc5,42360ac1-6f6f-496e-956a-0bf9f6d40a44,sent,2026-07-01 14:53:38.011+00,"{""svixId"": ""msg_3FuGcRMaxIOCH9OQh8KuZM7pbAd""}",2026-07-01 15:09:12.437+00
a56a734f-b988-40fa-b0dc-3b267b5b5d7e,61d5895b-ccdd-4bc7-bbd6-52fe6d5bc804,clicked,2026-07-01 14:53:38.031+00,"{""link"": ""https://wa.me/5511924651308?text=Ol%C3%A1!%20Quero%20confirmar%20minha%20presen%C3%A7a%20no%20lan%C3%A7amento%20do%20Corretor%20Studio%20no%20dia%2002%2F07."", ""svixId"": ""msg_3FuIoB7IQdvREWPKqa942aawy6h"", ""ipAddress"": ""2804:7f0:3f5:7c5e:4c75:2154:940f:719e"", ""userAgent"": ""Amazon CloudFront""}",2026-07-01 15:11:41.262+00
cf486628-55c0-494d-a160-aa3539240215,17dae4d9-cee1-4f37-a20b-7fe41daeacf5,opened,2026-07-01 14:53:38.038+00,"{""svixId"": ""msg_3FuRgN9R8mvWU6TDZjn3v9yb2Nj""}",2026-07-01 16:24:39.404+00
05497c44-3239-4975-82d5-175f83cda96e,b6d7f195-d94c-4e57-8bab-4f5d67a42eb7,sent,2026-07-06 20:27:10.515+00,"{""svixId"": ""msg_3G92neyfaQgCuPTYW8shudBGIG7""}",2026-07-06 20:27:12.972+00
92e94faa-4f22-481f-aac5-23ba766c193e,b6d7f195-d94c-4e57-8bab-4f5d67a42eb7,delivered,2026-07-06 20:27:10.515+00,"{""svixId"": ""msg_3G92oAhmoDMRjyCNJrH3r8t9oLv""}",2026-07-06 20:27:16.538+00
684b14be-e80e-4c49-8e18-302d7a93b0cd,b5f58597-89b4-4f05-9b56-a6e24c091895,sent,2026-07-06 21:13:22.899+00,"{""svixId"": ""msg_3G98Q4iypN1yTM9AMV64IDfkg5X""}",2026-07-06 21:13:25.18+00
d0ce0002-9a35-460c-9347-3ddaa1ae688c,622f81fb-cf05-49ba-a30c-d39a2fc3b3d9,sent,2026-07-06 21:13:23.285+00,"{""svixId"": ""msg_3G98Q68LkZhJ6UX1acM481qNgnH""}",2026-07-06 21:13:25.324+00
da0fc948-371f-4fe8-9a6a-bf1d1ae1401b,b5f58597-89b4-4f05-9b56-a6e24c091895,delivered,2026-07-06 21:13:22.899+00,"{""svixId"": ""msg_3G98QKvR5KQkBs719ufmf4jb8Yx""}",2026-07-06 21:13:27.02+00
